material,ms,alpha,a,c,k
Losil 340/50,1320000,0.00047,195.0,0.619,196.0
Newcor 1000/65,1333734,7.078e-07,24.6,0.02,209.0
Hiperco 50A 0.006,1640000,2.8e-05,10.0,0.0704,52.2
M-15 26 Ga,1380000,0.000553,243.0,0.652,191.0
M-19 26 Ga,1400000,0.000647,292.0,0.696,220.0
M-27 26 Ga,1450000,0.000709,330.0,0.67,241.0
M-36 26 Ga,1470000,0.000731,346.0,0.689,268.0
M-43 26 Ga,1460000,0.000668,314.0,0.75,259.0
M-47 26 Ga,1470000,0.000727,344.0,0.73,274.0
36F145,1330000,0.000571,244.0,0.698,186.0
64F190,1400000,0.000737,331.0,0.672,253.0
M1000-65A,1310000,0.000184,35.8,0.0716,235.0
M235-35A,1330000,0.000664,288.0,0.741,198.0
M1000-65D,1320000,0.000145,23.7,0.08,212.0
35PN210,1350000,0.00069,305.0,0.796,207.0
Arnon 7,1340000,0.000614,266.0,0.614,173.0
NO20,1380000,0.000719,322.0,0.719,221.0
Vacodur 50 Mechanical,1670000,1e-07,16.8,0.064,110.0
Vacoflux 50,1764117,6.2e-05,21.8,0.072,42.8
23PM85,1330000,0.000732,313.0,0.704,235.0
M22: USS Dynamo 26G,1350000,0.00058,248.0,0.509,193.0
M4: Unisil 28 M4,1610000,0.000267,137.0,0.711,129.0
Polycrystalline Fe,1718873.39,4e-05,34.3775,0.05,55.0
NO Fe-Si,1623380.42,0.0002,162.338,0.05,55.0
GO Fe-Si,1607464.93,2.5e-05,20.0933,0.05,9.5
Fe-(6.5 wt%)Si,1432394.49,6.67e-05,47.7465,0.05,25.0
Sintered/Bonded Powders,1432394.49,0.002,1432.3945,0.05,300.0
Permalloy / Mumetall,616725.4,4e-06,1.2335,0.05,1.15
Permendur,1870070.58,0.001,935.0353,0.05,65.0
Fe50-Ni50,1273239.54,2e-05,12.7324,0.05,4.0
Sintered Ferrites,377992.99,0.0002,37.7993,0.05,12.5
Sendust,1352817.02,4e-05,27.0563,0.05,7.5
Amorphous (Fe-based),1241408.56,2e-05,12.4141,0.05,3.5
Amorphous (Co-based),493380.32,4e-06,0.9868,0.05,0.75
Nanocrystalline (FINEMET),986760.65,4e-06,1.9735,0.05,0.75
Nanocrystalline (NANOPERM),1209577.57,4e-05,24.1916,0.05,3.0
