time,H_Am,M_Am,B_T
0,0,0,0
3.59214e-09,2.25701e-06,0,2.83624e-12
7.62329e-09,4.78986e-06,0,6.01911e-12
9.67506e-09,6.07902e-06,0,7.63912e-12
1.03088e-08,6.47723e-06,0,8.13953e-12
1.11252e-08,6.9902e-06,0.000717081,9.09895e-10
1.19417e-08,7.50317e-06,0.00150593,1.90184e-09
1.36222e-08,8.55905e-06,0.00313156,3.946e-09
1.62707e-08,1.02232e-05,0.00569241,7.16614e-09
2.05278e-08,1.2898e-05,0.00980744,1.23406e-08
2.78825e-08,1.75191e-05,0.0169169,2.12805e-08
4.52674e-08,2.84424e-05,0.0337246,4.24154e-08
7.41438e-08,4.65859e-05,0.0616426,7.75209e-08
1.32767e-07,8.34199e-05,0.118327,1.48799e-07
3.34812e-07,0.000210369,0.313765,3.94553e-07
7.98443e-07,0.000501677,0.762663,9.59021e-07
2.48674e-06,0.00156247,2.40237,3.02087e-06
9.83389e-06,0.00617882,9.63051,1.21098e-05
4.28961e-05,0.0269524,44.0172,5.53475e-05
0.000191676,0.120433,236.394,0.000297213
0.000698186,0.438682,1351.38,0.00169874
0.00137943,0.866713,3961.07,0.00497871
0.00222415,1.39743,8923.42,0.0112153
0.00320042,2.01075,16934.4,0.021283
0.0042852,2.69215,28484.5,0.0357981
0.00546318,3.43194,43816.3,0.0550655
0.00672862,4.22646,62962.1,0.0791258
0.00808729,5.07921,85829.6,0.107863
0.00956033,6.00332,112330,0.141166
0.0111949,7.02816,142598,0.179203
0.0131064,8.22566,177647,0.223248
0.0152119,9.5434,214349,0.269371
0.0175011,10.9741,250887,0.315288
0.0197903,12.4026,283464,0.356226
0.0220794,13.8285,312110,0.392227
0.0243686,15.2515,337121,0.423658
0.0266577,16.6713,358896,0.451023
0.0290413,18.1461,378577,0.475757
0.0315474,19.6923,396459,0.498229
0.0341866,21.3153,412666,0.518598
0.0369696,23.0203,427330,0.537027
0.0399062,24.8119,440580,0.553681
0.0430066,26.6942,452545,0.568719
0.0462806,28.6709,463349,0.582297
0.0497386,30.7454,473109,0.594565
0.053391,32.9209,481937,0.605661
0.057249,35.1999,489933,0.615713
0.0613237,37.5845,497190,0.624835
0.065627,40.076,503789,0.63313
0.0701712,42.6752,509801,0.640689
0.0749693,45.3819,515290,0.647589
0.0800355,48.1949,520309,0.6539
0.0853851,51.1123,524907,0.659682
0.0910359,54.1311,529125,0.664987
0.0970082,57.2474,533000,0.669859
0.103326,60.4562,536562,0.67434
0.110018,63.7513,539840,0.678463
0.117121,67.125,542857,0.682259
0.124679,70.568,545636,0.685755
0.132749,74.0683,548193,0.688973
0.141405,77.611,550545,0.691933
0.150747,81.1768,552705,0.694651
0.160916,84.7399,554680,0.697138
0.17212,88.2647,556477,0.699401
0.184697,91.6996,558095,0.701439
0.199275,94.9639,559525,0.703239
0.217432,97.9136,560735,0.704763
0.233563,99.4672,561343,0.705529
0.248534,99.9958,561546,0.705785
0.264022,99.6122,561671,0.705942
0.282352,97.9411,561957,0.706299
0.29424,96.1616,561942,0.706278
0.306282,93.8122,561585,0.705827
0.318521,90.8745,560802,0.704838
0.330452,87.4936,559617,0.703346
0.342382,83.6214,558019,0.701333
0.352634,79.9177,556303,0.699172
0.363278,75.7222,554149,0.696459
0.37202,72.0224,552053,0.693821
0.381294,67.8597,549446,0.690539
0.389049,64.2017,546905,0.687342
0.397187,60.1991,543812,0.68345
0.404168,56.64,540737,0.679582
0.411391,52.8428,537058,0.674953
0.4177,49.4366,533339,0.670276
0.424009,45.9527,529044,0.664874
0.430319,42.3967,524036,0.658577
0.435586,39.3766,519181,0.652471
0.441093,36.1733,513284,0.645057
0.445963,33.3042,507200,0.637408
0.450832,30.4039,500087,0.628466
0.455702,27.4752,491665,0.617879
0.45968,25.0638,483546,0.607673
0.46387,22.5069,473445,0.594977
0.467529,20.2611,462960,0.581798
0.471188,18.0045,450474,0.566105
0.474847,15.7385,435392,0.54715
0.477792,13.9082,420819,0.528834
0.480906,11.9682,402377,0.505657
0.483612,10.2785,383153,0.481497
0.486318,8.58585,360189,0.452638
0.489024,6.89073,332588,0.417951
0.491226,5.51032,305992,0.384528
0.493534,4.06169,273401,0.343571
0.495591,2.76967,239767,0.301303
0.497649,1.47719,201468,0.253174
0.499706,0.184467,158459,0.199126
0.501505,-0.945453,117314,0.14742
0.503303,-2.07525,73510.4,0.0923732
0.505101,-3.20479,28026.3,0.0352149
0.5069,-4.33391,-17918.9,-0.022523
0.508919,-5.60104,-68487.4,-0.0860709
0.510591,-6.64967,-108476,-0.136323
0.512263,-7.69757,-146063,-0.183557
0.513935,-8.74461,-180864,-0.227292
0.515674,-9.83214,-213924,-0.268837
0.517412,-10.9185,-243819,-0.306406
0.519275,-12.0815,-272517,-0.34247
0.521221,-13.2942,-299082,-0.375855
0.523264,-14.5651,-323613,-0.406683
0.525414,-15.9001,-346175,-0.435036
0.52768,-17.3046,-366843,-0.461011
0.530074,-18.7835,-385706,-0.484717
0.532602,-20.3412,-402864,-0.50628
0.535273,-21.9819,-418428,-0.52584
0.538097,-23.7092,-432515,-0.543544
0.541082,-25.527,-445248,-0.559547
0.544237,-27.4386,-456750,-0.574003
0.547572,-29.4473,-467139,-0.587062
0.551096,-31.5561,-476531,-0.598867
0.55482,-33.7676,-485032,-0.609552
0.558755,-36.0842,-492738,-0.619238
0.562912,-38.5074,-499737,-0.628037
0.567303,-41.0383,-506107,-0.636045
0.571939,-43.6772,-511915,-0.643347
0.576835,-46.4234,-517222,-0.650018
0.582005,-49.2755,-522078,-0.656125
0.587465,-52.2311,-526529,-0.661722
0.593233,-55.2868,-530614,-0.666859
0.599332,-58.4383,-534368,-0.671581
0.605786,-61.6802,-537821,-0.675923
0.612627,-65.0057,-540999,-0.679921
0.619895,-68.4065,-543924,-0.683602
0.627637,-71.8725,-546618,-0.686991
0.635916,-75.3906,-549097,-0.690111
0.644816,-78.9445,-551376,-0.692979
0.654448,-82.5127,-553465,-0.695609
0.664975,-86.0663,-555374,-0.698011
0.676644,-89.5647,-557104,-0.70019
0.68987,-92.9475,-558654,-0.702142
0.705499,-96.1163,-560006,-0.703845
0.726182,-98.8823,-561116,-0.705244
0.740612,-99.8261,-561481,-0.705703
0.760111,-99.7983,-561623,-0.705882
0.786077,-97.4418,-561985,-0.706334
0.79643,-95.7749,-561908,-0.706235
0.808924,-93.2243,-561455,-0.705662
0.821098,-90.1867,-560582,-0.704561
0.832938,-86.7264,-559319,-0.70297
0.844778,-82.7864,-557648,-0.700865
0.854814,-79.0871,-555895,-0.698657
0.865306,-74.8837,-553691,-0.695882
0.873926,-71.1861,-551551,-0.693189
0.883069,-67.0366,-548896,-0.689847
0.890734,-63.3863,-546303,-0.686585
0.898766,-59.4039,-543153,-0.682621
0.905672,-55.8586,-540016,-0.678675
0.912578,-52.2082,-536397,-0.674122
0.919484,-48.4594,-532189,-0.668829
0.92529,-45.2366,-528090,-0.663675
0.931346,-41.8114,-523143,-0.657453
0.936699,-38.733,-518062,-0.651065
0.942052,-35.6107,-512156,-0.643639
0.947405,-32.4481,-505211,-0.634907
0.951815,-29.8152,-498504,-0.626476
0.956446,-27.0255,-490240,-0.616088
0.960513,-24.5566,-481676,-0.605323
0.96458,-22.0716,-471543,-0.592586
0.968647,-19.5723,-459379,-0.577297
0.971929,-17.5461,-447650,-0.562556
0.975399,-15.3959,-432844,-0.543948
0.978411,-13.5231,-417426,-0.52457
0.981424,-11.6454,-398955,-0.501356
0.984436,-9.7636,-376597,-0.473258
0.98687,-8.24022,-354967,-0.446075
0.989434,-6.63398,-327942,-0.412112
0.991686,-5.22134,-299894,-0.376865
0.993938,-3.80766,-267142,-0.335706
0.996191,-2.39322,-229101,-0.2879
0.99808,-1.20665,-192851,-0.242345
