time,H_Am,M_Am,B_T
0.000,0.000,0.000,0.000
0.001,0.628,4251.160,0.005
0.003,1.841,12555.016,0.016
0.005,3.343,23022.663,0.029
0.008,5.049,35156.311,0.044
0.011,6.936,48859.446,0.061
0.014,9.017,64319.953,0.081
0.018,11.367,82205.118,0.103
0.023,14.332,105408.483,0.132
0.027,16.613,123722.759,0.155
0.031,19.057,143793.421,0.181
0.034,21.489,164214.729,0.206
0.038,23.656,182770.112,0.230
0.042,25.810,201557.291,0.253
0.045,27.952,220547.894,0.277
0.049,30.154,240378.059,0.302
0.053,32.446,261322.589,0.328
0.057,34.928,284313.554,0.357
0.062,37.978,312929.109,0.393
0.066,40.172,333688.925,0.419
0.070,42.589,356656.438,0.448
0.074,44.976,379362.901,0.477
0.078,47.332,401712.690,0.505
0.083,49.654,423616.580,0.532
0.087,51.941,444994.764,0.559
0.091,54.325,467004.204,0.587
0.096,56.948,490817.388,0.617
0.103,60.185,519525.834,0.653
0.108,62.812,542189.972,0.681
0.113,65.369,563668.953,0.708
0.119,67.853,583960.699,0.734
0.124,70.262,603078.616,0.758
0.130,72.791,622549.803,0.782
0.136,75.478,642562.167,0.808
0.144,78.712,665740.428,0.837
0.150,80.968,681328.172,0.856
0.157,83.381,697489.693,0.877
0.164,85.644,712179.235,0.895
0.170,87.534,724104.036,0.910
0.176,89.298,734968.814,0.924
0.182,90.935,744820.096,0.936
0.188,92.442,753700.295,0.947
0.194,93.817,761647.699,0.957
0.200,95.101,768932.995,0.966
0.206,96.238,775287.642,0.974
0.213,97.264,780939.969,0.981
0.219,98.129,785645.300,0.987
0.226,98.868,789621.767,0.992
0.233,99.440,792676.632,0.996
0.241,99.827,794727.815,0.999
0.249,99.996,795622.981,1.000
0.249,99.998,795631.746,1.000
0.249,99.999,795637.378,1.000
0.250,100.000,795640.617,1.000
0.250,100.000,795642.051,1.000
0.250,100.000,795642.187,1.000
0.250,100.000,795642.241,1.000
0.250,100.000,795642.281,1.000
0.250,100.000,795642.396,1.000
0.251,99.997,795643.905,1.000
0.255,99.941,795670.717,1.000
0.271,99.147,796045.117,1.000
0.287,97.277,796870.326,1.001
0.300,95.070,797738.731,1.003
0.314,92.004,798749.633,1.004
0.326,88.744,799566.178,1.005
0.338,84.964,800162.908,1.006
0.351,80.689,800360.539,1.006
0.361,76.573,800042.438,1.005
0.372,72.117,799097.703,1.004
0.382,67.340,797341.076,1.002
0.393,62.263,794561.556,0.999
0.404,56.910,790518.779,0.993
0.413,51.965,785673.161,0.987
0.422,46.840,779411.305,0.979
0.432,41.551,771491.143,0.970
0.441,36.118,761639.653,0.957
0.451,30.305,748942.263,0.941
