time,H_Am,M_Am,B_T
0.000,0.000,0.000,0.000
0.000,0.018,1.165,0.000
0.000,0.038,5.000,0.000
0.000,0.065,14.878,0.000
0.000,0.099,33.980,0.000
0.000,0.138,66.663,0.000
0.000,0.184,117.557,0.000
0.000,0.234,191.593,0.000
0.000,0.290,293.974,0.000
0.001,0.351,430.083,0.001
0.001,0.417,605.418,0.001
0.001,0.486,825.557,0.001
0.001,0.560,1096.105,0.001
0.001,0.639,1422.666,0.002
0.001,0.720,1810.812,0.002
0.001,0.806,2266.039,0.003
0.001,0.895,2793.753,0.004
0.002,0.987,3399.237,0.004
0.002,1.083,4087.634,0.005
0.002,1.178,4838.844,0.006
0.002,1.280,5704.988,0.007
0.002,1.381,6641.353,0.008
0.002,1.488,7703.507,0.010
0.003,1.595,8842.741,0.011
0.003,1.707,10117.639,0.013
0.003,1.819,11475.824,0.014
0.003,1.936,12978.479,0.016
0.003,2.052,14569.871,0.018
0.003,2.173,16313.499,0.021
0.004,2.294,18150.472,0.023
0.004,2.419,20146.482,0.025
0.004,2.544,22239.529,0.028
0.004,2.669,24428.081,0.031
0.004,2.800,26817.264,0.034
0.005,2.931,29307.164,0.037
0.005,3.062,31895.714,0.040
0.005,3.198,34694.501,0.044
0.005,3.334,37595.381,0.047
0.006,3.470,40595.664,0.051
0.006,3.612,43816.196,0.055
0.006,3.753,47137.802,0.059
0.006,3.895,50557.097,0.064
0.006,4.042,54208.635,0.068
0.007,4.189,57957.779,0.073
0.007,4.336,61800.392,0.078
0.007,4.489,65891.363,0.083
0.007,4.641,70073.994,0.088
0.008,4.794,74343.345,0.093
0.008,4.954,78884.236,0.099
0.008,5.113,83508.317,0.105
0.008,5.272,88209.805,0.111
0.009,5.439,93217.584,0.117
0.009,5.607,98297.442,0.124
0.009,5.780,103633.909,0.130
0.009,5.953,109033.338,0.137
0.010,6.134,114721.101,0.144
0.010,6.314,120461.243,0.151
0.010,6.504,126535.257,0.159
0.011,6.693,132649.246,0.167
0.011,6.895,139169.135,0.175
0.011,7.103,145945.746,0.183
0.012,7.319,153024.437,0.192
0.012,7.547,160465.965,0.202
0.012,7.789,168372.427,0.212
0.013,8.052,176941.962,0.222
0.013,8.353,186691.514,0.235
0.014,8.607,194846.635,0.245
0.014,8.885,203735.501,0.256
0.015,9.164,212528.710,0.267
0.015,9.442,221213.300,0.278
0.015,9.682,228613.713,0.287
0.016,9.923,235918.407,0.296
0.016,10.163,243121.870,0.306
0.017,10.403,250219.363,0.314
0.017,10.643,257206.866,0.323
0.017,10.883,264081.034,0.332
0.018,11.123,270839.141,0.340
0.018,11.363,277479.033,0.349
0.019,11.602,283999.078,0.357
0.019,11.842,290398.120,0.365
0.019,12.082,296675.434,0.373
0.020,12.321,302830.685,0.381
0.020,12.561,308863.886,0.388
0.020,12.800,314775.363,0.396
0.021,13.039,320565.718,0.403
0.021,13.279,326235.801,0.410
0.022,13.518,331786.676,0.417
0.022,13.757,337219.594,0.424
0.022,13.996,342535.971,0.430
0.023,14.235,347737.365,0.437
0.023,14.474,352825.450,0.443
0.024,14.722,357989.306,0.450
0.024,14.970,363035.062,0.456
0.024,15.217,367964.881,0.462
0.025,15.465,372780.990,0.468
0.025,15.721,377643.576,0.475
0.026,15.977,382389.580,0.481
0.026,16.232,387021.584,0.486
0.026,16.488,391542.184,0.492
0.027,16.753,396114.660,0.498
0.027,17.018,400573.051,0.503
0.028,17.282,404920.232,0.509
0.028,17.547,409159.059,0.514
0.029,17.821,413450.982,0.520
0.029,18.096,417632.133,0.525
0.029,18.370,421705.587,0.530
0.030,18.645,425674.369,0.535
0.030,18.930,429695.195,0.540
0.031,19.215,433609.221,0.545
0.031,19.500,437419.642,0.550
0.032,19.784,441129.579,0.554
0.032,20.080,444889.219,0.559
0.033,20.376,448546.544,0.564
0.033,20.672,452104.804,0.568
0.034,20.968,455567.154,0.573
0.034,21.276,459076.214,0.577
0.035,21.584,462487.823,0.581
0.035,21.891,465805.230,0.585
0.036,22.198,469031.581,0.589
0.036,22.518,472301.407,0.594
0.037,22.838,475478.901,0.598
0.037,23.158,478567.272,0.601
0.038,23.477,481569.614,0.605
0.038,23.810,484612.214,0.609
0.039,24.142,487567.750,0.613
0.039,24.475,490439.355,0.616
0.040,24.807,493230.040,0.620
0.040,25.153,496057.939,0.623
0.041,25.498,498804.095,0.627
0.042,25.843,501471.534,0.630
0.042,26.188,504063.163,0.633
0.043,26.548,506689.217,0.637
0.043,26.907,509238.815,0.640
0.044,27.266,511714.860,0.643
0.045,27.624,514120.131,0.646
0.045,27.998,516557.327,0.649
0.046,28.371,518923.251,0.652
0.046,28.744,521220.666,0.655
0.047,29.116,523452.212,0.658
0.048,29.504,525713.468,0.661
0.048,29.891,527908.475,0.663
0.049,30.278,530039.844,0.666
0.050,30.665,532110.069,0.669
0.050,31.068,534208.054,0.671
0.051,31.470,536244.605,0.674
0.052,31.872,538222.175,0.676
0.052,32.273,540143.104,0.679
0.053,32.691,542090.079,0.681
0.054,33.109,543980.188,0.684
0.054,33.526,545815.728,0.686
0.055,33.942,547598.883,0.688
0.056,34.375,549406.565,0.690
0.057,34.808,551161.683,0.693
0.057,35.241,552866.375,0.695
0.058,35.672,554522.671,0.697
0.059,36.122,556202.139,0.699
0.060,36.571,557833.061,0.701
0.060,37.019,559417.418,0.703
0.061,37.466,560957.090,0.705
0.062,37.931,562518.715,0.707
0.063,38.396,564035.518,0.709
0.064,38.860,565509.331,0.711
0.064,39.323,566941.891,0.712
0.065,39.805,568395.292,0.714
0.066,40.286,569807.305,0.716
0.067,40.766,571179.619,0.718
0.068,41.245,572513.833,0.719
0.069,41.744,573867.869,0.721
0.069,42.242,575183.665,0.723
0.070,42.738,576462.774,0.724
0.071,43.233,577706.667,0.726
0.072,43.748,578969.445,0.728
0.073,44.262,580196.854,0.729
0.074,44.775,581390.320,0.731
0.075,45.286,582551.197,0.732
0.076,45.818,583730.098,0.734
0.077,46.349,584876.238,0.735
0.078,46.878,585990.927,0.736
0.079,47.405,587075.407,0.738
0.080,47.954,588177.128,0.739
0.081,48.501,589248.448,0.741
0.082,49.046,590290.570,0.742
0.083,49.589,591304.634,0.743
0.084,50.154,592335.237,0.744
0.085,50.717,593337.565,0.746
0.086,51.278,594312.726,0.747
0.087,51.837,595261.768,0.748
0.088,52.419,596226.729,0.749
0.089,52.998,597165.328,0.750
0.090,53.575,598078.584,0.752
0.091,54.169,598997.153,0.753
0.092,54.760,599890.680,0.754
0.093,55.348,600760.123,0.755
0.095,55.954,601635.109,0.756
0.096,56.557,602486.254,0.757
0.097,57.156,603314.463,0.758
0.098,57.774,604148.270,0.759
0.099,58.388,604959.338,0.760
0.100,58.999,605748.521,0.761
0.102,59.627,606543.380,0.762
0.103,60.253,607316.505,0.763
0.104,60.874,608068.706,0.764
0.105,61.514,608826.683,0.765
0.107,62.150,609563.841,0.766
0.108,62.782,610280.950,0.767
0.109,63.432,611003.957,0.768
0.111,64.078,611706.974,0.769
0.112,64.720,612390.735,0.770
0.113,65.381,613080.541,0.771
0.115,66.037,613751.104,0.771
0.116,66.688,614403.123,0.772
0.118,67.359,615061.366,0.773
0.119,68.024,615701.029,0.774
0.121,68.683,616322.783,0.775
0.122,69.363,616950.970,0.775
0.123,70.037,617561.162,0.776
0.125,70.705,618154.004,0.777
0.127,71.393,618753.524,0.778
0.128,72.075,619335.552,0.778
0.130,72.750,619900.711,0.779
0.131,73.446,620472.835,0.780
0.133,74.135,621027.888,0.780
0.135,74.816,621566.473,0.781
0.136,75.520,622112.360,0.782
0.138,76.214,622641.508,0.783
0.140,76.900,623154.504,0.783
0.141,77.610,623675.200,0.784
0.143,78.310,624179.392,0.784
0.145,79.000,624667.656,0.785
0.147,79.714,625164.094,0.786
0.149,80.417,625644.154,0.786
0.151,81.134,626124.573,0.787
0.153,81.838,626588.642,0.787
0.155,82.557,627053.551,0.788
0.157,83.262,627502.057,0.789
0.159,83.981,627951.740,0.789
0.161,84.686,628384.891,0.790
0.163,85.406,628819.599,0.790
0.165,86.110,629237.549,0.791
0.167,86.829,629657.495,0.791
0.170,87.530,630060.338,0.792
0.172,88.247,630465.698,0.792
0.174,88.944,630853.457,0.793
0.177,89.658,631244.380,0.793
0.180,90.350,631616.997,0.794
0.182,91.060,631993.628,0.794
0.185,91.767,632362.784,0.795
0.188,92.471,632724.806,0.795
0.191,93.173,633079.783,0.796
0.194,93.871,633427.883,0.796
0.197,94.566,633769.410,0.797
0.201,95.259,634104.944,0.797
0.205,95.952,634435.686,0.797
0.209,96.652,634764.469,0.798
0.213,97.376,635100.073,0.798
0.218,97.973,635372.988,0.799
0.223,98.535,635626.366,0.799
0.228,99.025,635845.512,0.799
0.233,99.417,636018.753,0.799
0.238,99.708,636146.981,0.800
0.243,99.900,636230.849,0.800
0.248,99.994,636271.726,0.800
0.249,99.999,636274.195,0.800
0.250,100.000,636274.442,0.800
0.250,100.000,636274.506,0.800
0.250,100.000,636274.531,0.800
0.250,100.000,636274.638,0.800
0.251,99.996,636276.273,0.800
0.256,99.925,636306.586,0.800
0.263,99.681,636404.130,0.800
0.269,99.291,636541.569,0.800
0.275,98.724,636703.174,0.800
0.282,97.992,636850.976,0.800
0.285,97.550,636910.537,0.800
0.289,96.994,636956.800,0.801
0.293,96.382,636974.288,0.801
0.296,95.847,636963.612,0.801
0.299,95.245,636925.515,0.801
0.302,94.675,636866.386,0.800
0.305,94.074,636782.054,0.800
0.308,93.441,636671.383,0.800
0.311,92.778,636533.501,0.800
0.313,92.185,636393.144,0.800
0.316,91.570,636232.026,0.800
0.318,90.932,636049.954,0.799
0.321,90.272,635846.807,0.799
0.323,89.591,635622.520,0.799
0.326,88.887,635377.069,0.799
0.328,88.162,635110.450,0.798
0.330,87.500,634855.805,0.798
0.333,86.821,634584.450,0.798
0.335,86.125,634296.372,0.797
0.337,85.413,633991.536,0.797
0.339,84.684,633669.883,0.796
0.341,83.939,633331.321,0.796
0.344,83.178,632975.726,0.796
0.346,82.401,632602.929,0.795
0.348,81.609,632212.723,0.795
0.350,80.895,631852.962,0.794
0.352,80.168,631479.179,0.794
0.354,79.430,631091.132,0.793
0.356,78.680,630688.546,0.793
0.358,77.918,630271.114,0.792
0.360,77.145,629838.493,0.792
0.362,76.359,629390.302,0.791
0.364,75.563,628926.125,0.790
0.366,74.755,628445.507,0.790
0.367,74.023,628001.806,0.789
0.369,73.283,627544.205,0.789
0.371,72.534,627072.295,0.788
0.373,71.776,626585.638,0.787
0.374,71.010,626083.768,0.787
0.376,70.235,625566.189,0.786
0.378,69.452,625032.370,0.786
0.380,68.660,624481.749,0.785
0.381,67.861,623913.728,0.784
0.383,67.141,623392.256,0.783
0.384,66.415,622855.980,0.783
0.386,65.682,622304.399,0.782
0.388,64.944,621736.985,0.781
0.389,64.199,621153.181,0.781
0.391,63.448,620552.398,0.780
0.392,62.691,619934.015,0.779
0.394,61.928,619297.379,0.778
0.395,61.159,618641.800,0.777
0.397,60.385,617966.547,0.777
0.398,59.693,617351.111,0.776
